s.Endo Acer rubrum,s.Endo Carya ovata,s.Epi Acer rubrum,s.Epi Carya ovata,s.Lit Acer rubrum,s.Lit Carya ovata,s.Soil Acer rubrum,s.Soil Carya ovata,index,stat,p.value
OTU_257,0,0,0,1,0,0,0,0,4,0.786795792469443,0.0113192307692308
OTU_251,1,0,0,0,0,0,0,0,1,0.516348745854227,0.887354736328125
OTU_1301,0,1,0,0,0,0,0,0,2,0.547722557505166,0.410361971830986
OTU_438,0,0,0,0,1,0,0,0,5,0.447213595499958,0.887354736328125
OTU_739,0,0,0,0,0,0,0,1,8,0.489897948556636,0.566786306532663
OTU_949,0,0,0,0,0,1,0,0,6,0.447213595499958,0.887354736328125
OTU_3000,0,0,0,0,1,0,0,0,5,0.441289975079044,0.890702372093023
OTU_206,0,0,0,0,0,0,1,0,7,0.446071285599886,0.889384810126582
OTU_1888,0,0,0,0,0,0,0,1,8,0.377700069707887,1
OTU_165,0,0,0,1,0,0,0,0,4,0.573682937480863,0.347019094488189
OTU_207,0,0,0,0,0,0,0,1,8,0.799176530919181,0.094439552238806
OTU_1703,0,0,0,1,0,0,0,0,4,0.333333333333333,1
OTU_283,0,1,0,0,0,0,0,0,2,0.505649896847432,0.602972790697674
OTU_157,0,0,0,0,0,1,0,0,6,0.711512473537885,0.204558295964126
OTU_135,1,0,0,0,0,0,0,0,1,0.760295192992699,0.147972067039106
OTU_2144,0,0,0,1,0,0,0,0,4,0.636760804420478,0.32445368852459
OTU_547,1,0,0,0,0,0,0,0,1,0.516397779494322,0.574724813895782
OTU_136,0,0,0,0,0,0,0,1,8,0.559880151161353,0.467963513513514
OTU_117,0,0,0,0,1,0,0,0,5,0.387769214228837,0.895020463320463
OTU_95,1,0,0,0,0,0,0,0,1,0.5052337733995,0.608242194570136
OTU_409,0,0,0,0,1,0,0,0,5,0.50923671695814,0.544103713527851
OTU_92,0,0,0,0,0,0,1,0,7,0.446629892494407,0.889384810126582
OTU_174,0,0,0,0,0,0,0,1,8,0.446518624457679,0.889384810126582
OTU_81,0,0,0,0,0,1,0,0,6,0.701936771930406,0.266709375
OTU_270,0,1,0,0,0,0,0,0,2,0.842604763988456,0.0226384615384615
OTU_184,0,0,0,0,0,1,0,0,6,0.474712663277541,0.630182365826944
OTU_700,0,0,0,0,0,0,0,1,8,0.447213595499958,0.813852692307692
OTU_2826,0,0,0,0,1,0,0,0,5,0.761489180364423,0.32445368852459
OTU_521,0,0,0,0,0,0,0,1,8,0.619677335393187,0.284304905660377
OTU_130,0,0,0,0,1,0,0,0,5,0.459512066880707,0.887354736328125
OTU_389,0,0,0,0,0,0,1,0,7,0.442325868464691,0.889384810126582
OTU_440,0,0,0,0,1,0,0,0,5,0.398526698493043,0.887354736328125
OTU_54,0,0,0,0,0,0,0,1,8,0.856948559768233,0.0401318181818182
OTU_275,0,0,0,1,0,0,0,0,4,0.455610828928399,0.706141456016178
OTU_366,0,0,0,0,0,0,1,0,7,0.396795676023112,0.889384810126582
OTU_608,0,0,0,0,0,0,1,0,7,0.443961089821352,0.891246025104602
OTU_1322,0,1,0,0,0,0,0,0,2,0.358057437019716,0.887354736328125
OTU_856,0,0,0,1,0,0,0,0,4,0.438529009653515,0.735896127110228
OTU_1225,0,0,0,0,0,0,0,1,8,0.548867224495618,0.41354224137931
OTU_607,0,0,0,0,0,1,0,0,6,0.447213595499958,0.887354736328125
OTU_284,0,0,0,0,0,0,0,1,8,0.618346942400842,0.303725978647687
OTU_874,0,0,0,0,0,0,0,1,8,0.333333333333333,1
OTU_782,0,0,0,0,1,0,0,0,5,0.447213595499958,0.887354736328125
OTU_301,0,0,0,0,1,0,0,0,5,0.701189465598754,0.314808710801394
OTU_441,0,0,0,0,1,0,0,0,5,0.423450522289897,0.889384810126582
OTU_2123,0,0,0,0,0,1,0,0,6,0.770642602226609,0.178089230769231
OTU_875,0,0,0,0,0,0,0,1,8,0.516397779494322,0.56420012755102
OTU_574,0,0,1,0,0,0,0,0,3,0.546689257055862,0.32445368852459
OTU_107,0,0,0,1,0,0,0,0,4,0.685202457456667,0.0779029411764706
OTU_137,0,0,0,0,0,1,0,0,6,0.819942964165945,0.0903552631578947
OTU_697,0,0,0,0,0,0,0,1,8,0.632455532033676,0.32445368852459
OTU_634,0,0,1,0,0,0,0,0,3,0.537825434827238,0.367465491651206
OTU_309,0,0,0,0,1,0,0,0,5,0.894427190999916,0.030978947368421
OTU_596,0,0,0,0,0,0,1,0,7,0.752232449802975,0.108226451612903
OTU_2875,0,0,0,1,0,0,0,0,4,0.648193084966199,0.32445368852459
OTU_98,0,0,0,0,1,0,0,0,5,0.774596669241483,0.140305813953488
OTU_111,0,0,0,0,1,0,0,0,5,0.831121562834725,0.0750765306122449
OTU_1972,0,0,0,1,0,0,0,0,4,0.356348322549899,0.887354736328125
OTU_2236,0,0,0,1,0,0,0,0,4,0.856126290565896,0.0113192307692308
