s.Endo,s.Epi,s.Lit,s.Soil,index,stat,p.value
OTU_434,0,0,0,1,4,0.316227766016838,0.6187
OTU_78,0,0,1,0,3,0.445668811624924,0.1118
OTU_109,0,1,0,1,9,0.375951034444938,0.8153
OTU_259,0,0,1,0,3,0.447213595499958,0.1117
OTU_1230,0,0,0,1,4,0.316227766016838,0.6158
OTU_2452,0,0,0,1,4,0.447213595499958,0.1191
OTU_435,0,0,1,0,3,0.316227766016838,0.6053
OTU_235,0,0,1,0,3,0.447213595499958,0.1175
OTU_412,1,1,0,0,5,0.691234532406777,0.0178
OTU_310,0,1,0,0,2,0.552296520485944,0.0876
OTU_431,1,1,1,0,11,0.763762615825973,0.0063
OTU_276,0,0,1,1,10,0.316227766016838,0.577
OTU_1869,0,0,0,1,4,0.316227766016838,0.6126
OTU_1565,0,1,1,0,8,0.908745492212773,0.0001
OTU_831,0,1,1,0,8,0.267261241912424,1
OTU_3136,0,0,1,0,3,0.316227766016838,0.6081
OTU_1849,0,1,0,0,2,0.333333333333333,0.4227
OTU_171,1,1,0,0,5,0.480384461415261,0.2721
OTU_814,1,0,0,0,1,0.334932063528542,0.2588
OTU_80,0,0,1,0,3,0.743475558113252,0.0053
OTU_595,0,1,0,0,2,0.461837255744543,0.1255
OTU_1040,0,0,0,1,4,0.688247201611685,0.0009
OTU_490,0,0,0,1,4,0.547722557505166,0.0186
OTU_148,0,1,0,1,9,0.858230836288589,0.0066
OTU_302,0,0,0,1,4,0.894427190999916,0.0001
OTU_177,0,0,1,0,3,0.743223352957207,0.0043
OTU_601,0,0,0,1,4,0.632455532033676,0.0028
OTU_254,0,0,1,1,10,0.447213595499958,0.1564
OTU_293,0,0,1,0,3,0.698836241921708,0.0009
OTU_460,1,1,1,1,15,0.642684586917151,
OTU_2933,1,1,1,0,11,0.816496580927726,0.0024
OTU_2737,1,1,0,0,5,0.650443635587991,0.0163
OTU_469,0,0,0,1,4,0.447213595499958,0.1103
OTU_351,0,0,1,0,3,0.632455532033676,0.0031
OTU_907,0,0,0,1,4,0.707106781186548,0.0005
OTU_1805,0,1,0,0,2,0.235702260395516,1
OTU_653,0,0,1,1,10,0.316227766016838,0.5838
OTU_242,0,0,1,0,3,0.443202630213959,0.1114
OTU_512,0,0,0,1,4,0.316227766016838,0.6091
OTU_2562,0,0,1,1,10,0.316227766016838,0.521
OTU_443,0,0,0,1,4,0.316227766016838,0.6187
OTU_732,0,0,0,1,4,0.547722557505166,0.022
OTU_385,0,0,0,1,4,0.547722557505166,0.0184
OTU_180,0,0,1,0,3,0.809849279715588,0.0002
OTU_425,0,1,0,0,2,0.585522209066353,0.0555
OTU_328,0,0,1,0,3,0.547722557505166,0.016
OTU_128,0,0,1,0,3,0.316227766016838,0.6118
OTU_630,0,1,1,0,8,0.597614304667197,0.0618
OTU_271,1,1,1,0,11,0.849836585598797,0.0016
OTU_141,1,1,1,0,11,0.552770798392567,0.3271
OTU_2020,0,0,0,1,4,0.447213595499958,0.1182
OTU_2936,0,1,0,0,2,0.60702613257057,0.0197
OTU_571,0,0,0,1,4,0.894427190999916,0.0001
OTU_335,0,1,1,0,8,0.826889462116028,0.0002
OTU_183,0,1,0,0,2,0.784693690538255,0.0009
OTU_255,0,0,0,1,4,0.836660026534076,0.0001
OTU_1975,0,1,1,0,8,0.267261241912424,1
OTU_133,0,1,1,0,8,0.422577127364258,0.3572
OTU_715,1,0,0,1,7,0.327818753821147,0.4653
OTU_227,0,0,0,1,4,0.447213595499958,0.1186
OTU_252,0,0,0,1,4,0.707106781186548,0.0004
OTU_246,0,0,0,1,4,0.547722557505166,0.0186
OTU_584,0,0,0,1,4,0.447213595499958,0.1155
