OTU_ID	Kingdom	Phylum	Class	Order	Family	Genus	Species
OTU_2883	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Clonostachys	Clonostachys miodochialis
OTU_2884	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Cladophialophora	
OTU_2885	Fungi	Ascomycota	Sordariomycetes	Diaporthales	Diaporthaceae	Diaporthe	Diaporthe cotoneastri
OTU_2886	Fungi	Ascomycota					
OTU_2887	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae		
OTU_2888	Fungi	Ascomycota					
OTU_2889	Fungi						
OTU_2890	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae		
OTU_2891	Fungi	Basidiomycota	Agaricomycetes	Trechisporales	Hydnodontaceae	Subulicystidium	Subulicystidium perlongisporum
OTU_2892	Fungi						
OTU_2893	Fungi						
OTU_2894	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae		
OTU_2895	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Crepidotaceae	Crepidotus	
OTU_2896	Fungi	Ascomycota					
OTU_2897	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Phialophora	Phialophora sp 
OTU_2898	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Phyllostictaceae	Phyllosticta	Phyllosticta minima
OTU_2899	Fungi	Ascomycota	Dothideomycetes	Pleosporales			
OTU_2900	Fungi	Basidiomycota	Agaricomycetes	Hymenochaetales	Schizoporaceae	Xylodon	Xylodon flaviporus
OTU_2901	Fungi	Ascomycota	Sordariomycetes	Incertae_sedis	Incertae_sedis	Lentomitella	
OTU_2902	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Flagelloscypha	Flagelloscypha sp 
OTU_2903	Fungi	Basidiomycota	Microbotryomycetes	Incertae_sedis	Incertae_sedis	Colacogloea	Colacogloea sp 
OTU_2904	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales			
OTU_2905	Fungi	Basidiomycota	Agaricomycetes	Trechisporales	Hydnodontaceae	Trechispora	
OTU_2906	Fungi	Ascomycota					
OTU_2907	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae		
OTU_2908	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Melanommataceae	Herpotrichia	
OTU_2909	Fungi	Basidiomycota	Gs25	Gs25	Pezizaceae	Peziza	Peziza succosa
OTU_2910	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Pluteaceae	Pluteus	Pluteus petasatus
OTU_2911	Fungi	Basidiomycota	Agaricomycetes	Hymenochaetales	Hymenochaetaceae		
OTU_2912	Fungi						
OTU_2913	Fungi						
OTU_2914	Fungi	Chytridiomycota	Spizellomycetes	Spizellomycetales	Powellomycetaceae	Powellomyces	Powellomyces sp 
OTU_2915	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Sphaerulina	
OTU_2916	Fungi	Basidiomycota	Agaricomycetes	Trechisporales			
OTU_2917	Fungi	Ascomycota	Leotiomycetes	Helotiales			
OTU_2918	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae	Peziza	
OTU_2919	Fungi	Basidiomycota	Agaricomycetes	Tremellodendropsidales			
OTU_2920	Fungi	Ascomycota	Sordariomycetes	Hypocreales			
OTU_2921	Fungi	Ascomycota	Dothideomycetes	Myriangiales			
OTU_2922	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Sporobolomyces	Sporobolomyces sp 
OTU_2923	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lophiostomataceae		
OTU_2924	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lophiostomataceae	Flabellascoma	
OTU_2925	Fungi	Basidiomycota	Agaricomycetes	Sebacinales	Sebacinaceae	Sebacina	
OTU_2926	Fungi	Basidiomycota	Agaricomycetes	Trechisporales	Hydnodontaceae	Subulicystidium	Subulicystidium perlongisporum
OTU_2927	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Dictyosporiaceae	Pseudodictyosporium	Pseudodictyosporium elegans
OTU_2928	Fungi	Ascomycota	Leotiomycetes	Helotiales			
OTU_2929	Fungi	Ascomycota					
OTU_2930	Fungi	Basidiomycota	Agaricomycetes	Agaricales			
OTU_2931	Fungi						
OTU_2932	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Cordycipitaceae	Lecanicillium	Lecanicillium muscarium
OTU_2933	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Ramularia	
OTU_2934	Fungi						
OTU_2935	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellaceae	Cryptococcus	
OTU_2936	Fungi	Ascomycota	Dothideomycetes	Dothideales	Dothioraceae	Dothiora	
OTU_2937	Fungi	Ascomycota	Sordariomycetes	Ophiostomatales	Incertae_sedis	Spumatoria	Spumatoria longicollis
OTU_2938	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Periconiaceae	Periconia	
OTU_2939	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Cercophora	Cercophora sp 
OTU_2940	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Strophariaceae	Tubaria	
OTU_2941	Fungi	Basidiomycota	Microbotryomycetes	Incertae_sedis	Chrysozymaceae	Yurkovia	Yurkovia mendeliana
OTU_2942	Fungi	Ascomycota	Sordariomycetes	Xylariales	Apiosporaceae	Arthrinium	Arthrinium ibericum
OTU_2943	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Cladophialophora	Cladophialophora sp 
OTU_2944	Fungi	Ascomycota					
OTU_2945	Fungi	Ascomycota	Taphrinomycetes	Taphrinales	Taphrinaceae	Taphrina	
OTU_2946	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Clavariaceae	Clavaria	
OTU_2947	Fungi	Ascomycota					
OTU_2948	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Crepidotaceae	Simocybe	Simocybe sp 
OTU_2949	Fungi	Ascomycota	Sordariomycetes	Hypocreales			
OTU_2950	Fungi						
OTU_2951	Fungi	Ascomycota	Leotiomycetes	Erysiphales	Erysiphaceae	Erysiphe	
OTU_2952	Fungi	Ascomycota	Sordariomycetes	Sordariales			
OTU_2953	Fungi	Ascomycota					
OTU_2954	Fungi	Ascomycota	Sordariomycetes	Diaporthales	Diaporthaceae	Diaporthe	
OTU_2955	Fungi						
OTU_2956	Fungi						
OTU_2957	Fungi	Entomophthoromycota	Entomophthoromycetes	Entomophthorales			
OTU_2958	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae		
OTU_2959	Fungi	Ascomycota	Orbiliomycetes	Orbiliales	Orbiliaceae	Orbilia	Orbilia sp 
OTU_2960	Fungi	Ascomycota	Dothideomycetes	Pleosporales			
OTU_2961	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Cordycipitaceae	Lecanicillium	Lecanicillium psalliotae
OTU_2962	Fungi	Ascomycota	Sordariomycetes	Magnaporthales	Magnaporthaceae		
OTU_2963	Fungi	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	Malassezia globosa
OTU_2964	Fungi	Ascomycota	Dothideomycetes	Capnodiales			
OTU_2965	Fungi	Basidiomycota	Agaricomycetes	Hymenochaetales	Hymenochaetaceae	Hymenochaete	Hymenochaete sp 
OTU_2966	Fungi						
OTU_2967	Fungi	Ascomycota	Dothideomycetes	Pleosporales			
OTU_2968	Fungi						
OTU_2969	Fungi	Ascomycota	Sordariomycetes				
OTU_2970	Fungi	Basidiomycota	Agaricostilbomycetes	Agaricostilbales	Kondoaceae	Kondoa	Kondoa phyllada
OTU_2971	Fungi	Ascomycota	Sordariomycetes				
OTU_2972	Fungi						
OTU_2973	Fungi	Ascomycota	Sordariomycetes	Togniniales	Togniniaceae	Phaeoacremonium	Phaeoacremonium occidentale
OTU_2974	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Lasiosphaeris	Lasiosphaeris sp 
OTU_2975	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Cerrenaceae	Radulodon	
OTU_2976	Fungi						
OTU_2977	Fungi	Glomeromycota	Paraglomeromycetes	Paraglomerales	Paraglomeraceae	Paraglomus	Paraglomus laccatum
OTU_2978	Fungi	Basidiomycota	Agaricomycetes	Agaricales			
OTU_2979	Fungi	Mucoromycota	Endogonomycetes	Endogonales			
OTU_2980	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae		
OTU_2981	Fungi						
OTU_2982	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Montagnula	Montagnula scabiosae
OTU_2983	Fungi	Basidiomycota	Microbotryomycetes	Leucosporidiales			
OTU_2984	Fungi	Basidiomycota	Agaricomycetes	Hymenochaetales	Schizoporaceae		
OTU_2985	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella	
OTU_2986	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Hypomyces	Hypomyces chlorinigenus
OTU_2987	Fungi	Ascomycota					
OTU_2988	Fungi	Ascomycota	Dothideomycetes	Pleosporales			
OTU_2989	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Parmeliaceae	Hypogymnia	
OTU_2990	Fungi	Zoopagomycota					
OTU_2991	Fungi						
OTU_2992	Fungi	Ascomycota	Sordariomycetes	Hypocreales			
OTU_2993	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Entolomataceae	Entoloma	Entoloma sp 
OTU_2994	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales			
OTU_2995	Fungi	Ascomycota	Orbiliomycetes	Orbiliales			
OTU_2996	Fungi	Mucoromycota	Mucoromycetes	Mucorales	Backusellaceae	Backusella	Backusella circina
OTU_2997	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Collophora	
OTU_2998	Fungi	Ascomycota	Sordariomycetes				
OTU_2999	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae		
