Root,Kingdom,Phylum,Class,Order,Family,Genus,Species
OTU_2031,Root,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,Hymenoscyphus,Hymenoscyphus_fructigenus|SH203826.06FU
OTU_2032,Root,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Phaeosphaeriaceae_unidentified,Phaeosphaeriaceae_sp|SH227811.06FU
OTU_2033,Root,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Pleosporaceae_unidentified,Pleosporaceae_sp|SH211758.06FU
OTU_2034,Root,Fungi,Ascomycota,Dothideomycetes,Botryosphaeriales,Botryosphaeriales_unidentified,Botryosphaeriales_unidentified_1,Botryosphaeriales_sp|SH189952.06FU
OTU_2035,Root,Fungi,Ascomycota,Dothideomycetes,Venturiales,Venturiales_unidentified,Venturiales_unidentified_1,Venturiales_sp|SH224254.06FU
OTU_2036,Root,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Teratosphaeriaceae,Teratosphaeria,Teratosphaeria_knoxdavesii|SH189977.06FU
OTU_2037,Root,Fungi,Fungi_unidentified,Fungi_unidentified_1,Fungi_unidentified_1,Fungi_unidentified_1_1,Fungi_unidentified_1_1,Fungi_sp|SH234355.06FU
OTU_2038,Root,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Incertae_sedis_17,Capnobotryella,Capnobotryella_sp|SH195035.06FU
OTU_2039,Root,Fungi,Basidiomycota,Agaricostilbomycetes,Agaricostilbales,Agaricostilbaceae,Bensingtonia,Bensingtonia_phyllada|SH241566.06FU
OTU_2040,Root,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Strophariaceae,Pholiota,Pholiota_burkei|SH205093.06FU
OTU_2041,Root,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Chaetothyriales_unidentified,Chaetothyriales_unidentified_1,Chaetothyriales_sp|SH201524.06FU
OTU_2042,Root,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Pleurotaceae,Hohenbuehelia,Hohenbuehelia_sp_ly118|SH201403.06FU
OTU_2043,Root,Fungi,Ascomycota,Incertae_sedis_14,Incertae_sedis_15,Incertae_sedis_16,Pulchromyces,Pulchromyces_fimicola|SH227367.06FU
OTU_2044,Root,Fungi,Fungi_unidentified,Fungi_unidentified_1,Fungi_unidentified_1,Fungi_unidentified_1_1,Fungi_unidentified_1_1,Fungi_sp|SH190172.06FU
OTU_2045,Root,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium_sp_CCG_2012|SH223498.06FU
OTU_2046,Root,Fungi,Ascomycota,Taphrinomycetes,Taphrinales,Taphrinaceae,Taphrina,Taphrina_confusa|SH211014.06FU
OTU_2047,Root,Fungi,Basidiomycota,Tremellomycetes,Filobasidiales,Filobasidiaceae,Cryptococcus,Cryptococcus_sp|SH203519.06FU
OTU_2048,Root,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomeraceae_unidentified,Glomeraceae_sp|SH216807.06FU
OTU_2049,Root,Fungi,Ascomycota,Ascomycota_unidentified,Ascomycota_unidentified_1,Ascomycota_unidentified_1,Ascomycota_unidentified_1_1,Ascomycota_sp|SH189898.06FU
OTU_2050,Root,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Xylaria,Xylaria_sp_IP_94|SH193341.06FU
OTU_2051,Root,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Hygrocybe,Hygrocybe_sp_TU112140|SH227696.06FU
OTU_2052,Root,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Incertae_sedis_12,Derxomyces,Derxomyces_wuzhishanensis|SH197673.06FU
OTU_2053,Root,Fungi,Basidiomycota,Microbotryomycetes,Sporidiobolales,Incertae_sedis_25,Sporobolomyces,Sporobolomyces_ruber|SH219452.06FU
OTU_2054,Root,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pezizaceae,Peziza,Peziza_ampliata|SH216377.06FU
OTU_2055,Root,Fungi,Ascomycota,Archaeorhizomycetes,Archaeorhizomycetales,Archaeorhizomycetaceae,Archaeorhizomyces,Archaeorhizomyces_sp|SH197158.06FU
OTU_2056,Root,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Incertae_sedis_12,Bullera,Bullera_sp_VY_120|SH229458.06FU
OTU_2057,Root,Fungi,Basidiomycota,Agaricomycetes,Hymenochaetales,Hymenochaetales_unidentified,Hymenochaetales_unidentified_1,Hymenochaetales_sp|SH229188.06FU
OTU_2058,Root,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Cordycipitaceae,Isaria,Isaria_fumosorosea|SH228190.06FU
OTU_2059,Root,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Physalacriaceae,Cylindrobasidium,Cylindrobasidium_laeve|SH193744.06FU
OTU_2060,Root,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Meruliaceae,Hyphoderma,Hyphoderma_setigerum|SH236002.06FU
OTU_2061,Root,Fungi,Chytridiomycota,Chytridiomycota_unidentified,Chytridiomycota_unidentified_1,Chytridiomycota_unidentified_1,Chytridiomycota_unidentified_1_1,Chytridiomycota_sp|SH234055.06FU
OTU_2062,Root,Fungi,Ascomycota,Dothideomycetes,Dothideales,Dothioraceae,Pringsheimia,Pringsheimia_sp|SH231456.06FU
OTU_2063,Root,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,Cortinarius_caesiostramineus|SH192052.06FU
OTU_2064,Root,Fungi,Ascomycota,Sordariomycetes,Sordariales,Sordariales_unidentified,Sordariales_unidentified_1,Sordariales_sp|SH219395.06FU
OTU_2065,Root,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Schizophyllaceae,Schizophyllum,Schizophyllum_commune|SH214159.06FU
OTU_2066,Root,Fungi,Zygomycota,Incertae_sedis_10,Mortierellales,Mortierellaceae,Mortierella,Mortierella_longigemmata|SH228363.06FU
OTU_2067,Root,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Cordycipitaceae,Cordyceps,Cordyceps_bassiana|SH196288.06FU
OTU_2068,Root,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pezizaceae,Peziza,Peziza_sp|SH216379.06FU
OTU_2069,Root,Fungi,Basidiomycota,Agaricomycetes,Hymenochaetales,Hymenochaetaceae,Coltricia,Coltricia_sp|SH237177.06FU
OTU_2070,Root,Fungi,Ascomycota,Leotiomycetes,Helotiales,Hyaloscyphaceae,Arachnopeziza,Arachnopeziza_sp|SH230020.06FU
OTU_2071,Root,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,Hymenoscyphus,Hymenoscyphus_sp|SH203838.06FU
OTU_2072,Root,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Scutellinia,Scutellinia_hirta|SH212844.06FU
OTU_2073,Root,Fungi,Ascomycota,Leotiomycetes,Helotiales,Rutstroemiaceae,Lanzia,Lanzia_allantospora|SH237460.06FU
OTU_2074,Root,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporales_unidentified,Polyporales_unidentified_1,Polyporales_sp|SH215922.06FU
OTU_2075,Root,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Botryobasidiaceae,Botryobasidium,Botryobasidium_subcoronatum|SH218722.06FU
OTU_2076,Root,Fungi,Ascomycota,Ascomycota_unidentified,Ascomycota_unidentified_1,Ascomycota_unidentified_1,Ascomycota_unidentified_1_1,Ascomycota_sp|SH208867.06FU
OTU_2077,Root,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Chaetothyriales_unidentified,Chaetothyriales_unidentified_1,Chaetothyriales_sp|SH232184.06FU
OTU_2078,Root,Fungi,Zygomycota,Incertae_sedis_10,Mortierellales,Mortierellaceae,Mortierella,Mortierella_beljakovae|SH217148.06FU
OTU_2079,Root,Fungi,Chytridiomycota,Chytridiomycota_unidentified,Chytridiomycota_unidentified_1,Chytridiomycota_unidentified_1,Chytridiomycota_unidentified_1_1,Chytridiomycota_sp|SH233268.06FU
OTU_2080,Root,Fungi,Basidiomycota,Agaricomycetes,Agaricomycetes_unidentified,Agaricomycetes_unidentified_1,Agaricomycetes_unidentified_1,Agaricomycetes_sp|SH202321.06FU
OTU_2081,Root,Fungi,Ascomycota,Ascomycota_unidentified,Ascomycota_unidentified_1,Ascomycota_unidentified_1,Ascomycota_unidentified_1_1,Ascomycota_sp|SH216151.06FU
OTU_2082,Root,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,Hymenoscyphus,Hymenoscyphus_epiphyllus|SH239947.06FU
OTU_2083,Root,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporales_unidentified,Pleosporales_unidentified_1,Pleosporales_sp|SH240081.06FU
OTU_2084,Root,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Metschnikowiaceae,Metschnikowia,Metschnikowia_sp_XY103|SH197258.06FU
OTU_2085,Root,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Paecilomyces,Paecilomyces_marquandii|SH235961.06FU
OTU_2086,Root,Fungi,Basidiomycota,Agaricomycetes,Russulales,Auriscalpiaceae,Lentinellus,Lentinellus_cochleatus|SH198992.06FU
OTU_2087,Root,Fungi,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Lasiosphaeria,Lasiosphaeria_glabrata|SH210817.06FU
OTU_2088,Root,Fungi,Basidiomycota,Agaricomycetes,Atheliales,Atheliaceae,Atheliaceae_unidentified,Atheliaceae_sp|SH233447.06FU
OTU_2089,Root,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Incertae_sedis_12,Derxomyces,Derxomyces_wuzhishanensis|SH197673.06FU
OTU_2090,Root,Fungi,Ascomycota,Leotiomycetes,Helotiales,Dermateaceae,Dermateaceae_unidentified,Dermateaceae_sp|SH209362.06FU
OTU_2091,Root,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Scutellinia,Scutellinia_nigrohirtula|SH212837.06FU
OTU_2092,Root,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium_sp_OTU_011|SH217368.06FU
OTU_2093,Root,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricales_unidentified,Agaricales_unidentified_1,Agaricales_sp|SH239705.06FU
OTU_2094,Root,Fungi,Basidiomycota,Pucciniomycetes,Septobasidiales,Septobasidiaceae,Septobasidium,Septobasidium_sp_JBM_2010b|SH228015.06FU
OTU_2095,Root,Fungi,Basidiomycota,Microbotryomycetes,Microbotryomycetes_unidentified,Microbotryomycetes_unidentified_1,Microbotryomycetes_unidentified_1,Microbotryomycetes_sp|SH223198.06FU
OTU_2096,Root,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Phanerochaetaceae,Phanerochaete,Phanerochaete_sordida|SH214777.06FU
OTU_2097,Root,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Incertae_sedis_12,Cryptococcus_1,Cryptococcus_sp_FYB_2007a|SH234685.06FU
OTU_2098,Root,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Coprinopsis,Coprinopsis_atramentaria|SH229024.06FU
OTU_2099,Root,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Glomus_sp_BEG104|SH236805.06FU
OTU_2100,Root,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Incertae_sedis_13,Pyrenochaeta,Pyrenochaeta_unguis_hominis|SH196243.06FU
OTU_2101,Root,Fungi,Basidiomycota,Microbotryomycetes,Sporidiobolales,Incertae_sedis_25,Rhodotorula,Rhodotorula_lamellibrachiae|SH227552.06FU
OTU_2102,Root,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiales_unidentified,Helotiales_unidentified_1,Helotiales_sp|SH209267.06FU
OTU_2103,Root,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Hydnaceae,Sistotrema,Sistotrema_brinkmannii|SH214034.06FU
OTU_2104,Root,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,Cortinarius_hinnuleoarmillatus|SH232859.06FU
OTU_2105,Root,Fungi,Ascomycota,Orbiliomycetes,Orbiliomycetes_unidentified,Orbiliomycetes_unidentified_1,Orbiliomycetes_unidentified_1,Orbiliomycetes_sp|SH207541.06FU
OTU_2106,Root,Fungi,Basidiomycota,Microbotryomycetes,Sporidiobolales,Incertae_sedis_25,Sporobolomyces,Sporobolomyces_inositophilus|SH219417.06FU
OTU_2107,Root,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Cladophialophora,Cladophialophora_scillae|SH227227.06FU
OTU_2108,Root,Fungi,Fungi_unidentified,Fungi_unidentified_1,Fungi_unidentified_1,Fungi_unidentified_1_1,Fungi_unidentified_1_1,Fungi_sp|SH230936.06FU
OTU_2109,Root,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Pleospora,Pleospora_herbarum|SH224791.06FU
OTU_2110,Root,Fungi,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Xerocomus,Xerocomus_sp|SH237547.06FU
OTU_2111,Root,Fungi,Ascomycota,Incertae_sedis_14,Incertae_sedis_15,Incertae_sedis_16,Pulchromyces,Pulchromyces_fimicola|SH227367.06FU
OTU_2112,Root,Fungi,Ascomycota,Dothideomycetes,Dothideomycetes_unidentified,Dothideomycetes_unidentified_1,Dothideomycetes_unidentified_1,Dothideomycetes_sp|SH223834.06FU
OTU_2113,Root,Fungi,Basidiomycota,Ustilaginomycetes,Urocystidales,Urocystidaceae,Urocystis,Urocystis_agropyri|SH203439.06FU
OTU_2114,Root,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Metschnikowiaceae,Metschnikowia,Metschnikowia_sp_XY103|SH197258.06FU
OTU_2115,Root,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,Phaeohelotium,Phaeohelotium_monticola|SH240927.06FU
OTU_2116,Root,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporales_unidentified,Pleosporales_unidentified_1,Pleosporales_sp|SH229487.06FU
OTU_2117,Root,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricales_unidentified,Agaricales_unidentified_1,Agaricales_sp|SH218066.06FU
OTU_2118,Root,Fungi,Fungi_unidentified,Fungi_unidentified_1,Fungi_unidentified_1,Fungi_unidentified_1_1,Fungi_unidentified_1_1,Fungi_sp|SH234355.06FU
OTU_2119,Root,Fungi,Ascomycota,Dothideomycetes,Dothideomycetes_unidentified,Dothideomycetes_unidentified_1,Dothideomycetes_unidentified_1,Dothideomycetes_sp|SH230465.06FU
OTU_2120,Root,Fungi,Ascomycota,Sordariomycetes,Sordariales,Incertae_sedis_23,Carpoligna,Carpoligna_pleurothecii|SH211047.06FU
OTU_2121,Root,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Nemania,Nemania_sp|SH241719.06FU
OTU_2122,Root,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Phaeosphaeria,Phaeosphaeria_sp|SH227803.06FU
OTU_2123,Root,Fungi,Ascomycota,Incertae_sedis_14,Incertae_sedis_15,Incertae_sedis_16,Chalara,Chalara_sp|SH209351.06FU
OTU_2124,Root,Fungi,Ascomycota,Incertae_sedis_14,Incertae_sedis_15,Incertae_sedis_16,Pulchromyces,Pulchromyces_fimicola|SH227367.06FU
OTU_2125,Root,Fungi,Ascomycota,Incertae_sedis_14,Incertae_sedis_15,Incertae_sedis_16,Knufia,Knufia_perforans|SH209750.06FU
OTU_2126,Root,Fungi,Basidiomycota,Agaricomycetes,Boletales,Boletales_unidentified,Boletales_unidentified_1,Boletales_sp|SH239630.06FU
OTU_2127,Root,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Entolomataceae,Entoloma,Entoloma_sp|SH197233.06FU
OTU_2128,Root,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Hypocreaceae_unidentified,Hypocreaceae_sp|SH211687.06FU
OTU_2129,Root,Fungi,Ascomycota,Dothideomycetes,Dothideomycetes_unidentified,Dothideomycetes_unidentified_1,Dothideomycetes_unidentified_1,Dothideomycetes_sp|SH238906.06FU
OTU_2130,Root,Fungi,Glomeromycota,Glomeromycota_unidentified,Glomeromycota_unidentified_1,Glomeromycota_unidentified_1,Glomeromycota_unidentified_1_1,Glomeromycota_sp|SH236339.06FU
OTU_2131,Root,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Chaetothyriaceae,Cyphellophora,Cyphellophora_fusarioides|SH232795.06FU
OTU_2132,Root,Fungi,Ascomycota,Dothideomycetes,Dothideomycetes_unidentified,Dothideomycetes_unidentified_1,Dothideomycetes_unidentified_1,Dothideomycetes_sp|SH223834.06FU
OTU_2133,Root,Fungi,Ascomycota,Incertae_sedis_14,Incertae_sedis_15,Incertae_sedis_16,Knufia,Knufia_perforans|SH209750.06FU
OTU_2134,Root,Fungi,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Russulaceae_unidentified,Russulaceae_sp|SH239323.06FU
OTU_2135,Root,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Pluteaceae,Pluteus,Pluteus_cervinus|SH201426.06FU
OTU_2136,Root,Fungi,Basidiomycota,Exobasidiomycetes,Exobasidiales,Exobasidiales_unidentified,Exobasidiales_unidentified_1,Exobasidiales_sp|SH204840.06FU
OTU_2137,Root,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Incertae_sedis_13,Mycocentrospora,Mycocentrospora_sp|SH196687.06FU
OTU_2138,Root,Fungi,Fungi_unidentified,Fungi_unidentified_1,Fungi_unidentified_1,Fungi_unidentified_1_1,Fungi_unidentified_1_1,Fungi_sp|SH234355.06FU
OTU_2139,Root,Fungi,Basidiomycota,Agaricomycetes,Russulales,Russulales_unidentified,Russulales_unidentified_1,Russulales_sp|SH234592.06FU
OTU_2140,Root,Fungi,Ascomycota,Leotiomycetes,Helotiales,Incertae_sedis_2,Cadophora,Cadophora_sp|SH240807.06FU
OTU_2141,Root,Fungi,Zygomycota,Incertae_sedis_10,Mortierellales,Mortierellaceae,Mortierella,Mortierella_sp|SH214852.06FU
OTU_2142,Root,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomeraceae_unidentified,Glomeraceae_sp|SH213628.06FU
OTU_2143,Root,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomeraceae_unidentified,Glomeraceae_sp|SH222498.06FU
OTU_2144,Root,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Incertae_sedis_13,Phoma,Phoma_aff_macrostoma_BBA_72146|SH202148.06FU
OTU_2145,Root,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiales_unidentified,Helotiales_unidentified_1,Helotiales_sp|SH216435.06FU
OTU_2146,Root,Fungi,Ascomycota,Leotiomycetes,Helotiales,Incertae_sedis_2,Tetracladium,Tetracladium_sp|SH216424.06FU
OTU_2147,Root,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Incertae_sedis_12,Cryptococcus_1,Cryptococcus_sp_CBS_8358|SH219363.06FU
OTU_2148,Root,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Penicillium,Penicillium_virgatum|SH201030.06FU
OTU_2149,Root,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Cladophialophora,Cladophialophora_chaetospira|SH214956.06FU
OTU_2150,Root,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Incertae_sedis_3,Acremonium,Acremonium_rutilum|SH240964.06FU
OTU_2151,Root,Fungi,Chytridiomycota,Chytridiomycetes,Rhizophydiales,Rhizophydiaceae,Rhizophydium,Rhizophydium_sp|SH218302.06FU
OTU_2152,Root,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Tricholoma,Tricholoma_borgsjoeense|SH237356.06FU
OTU_2153,Root,Fungi,Ascomycota,Ascomycota_unidentified,Ascomycota_unidentified_1,Ascomycota_unidentified_1,Ascomycota_unidentified_1_1,Ascomycota_sp|SH207016.06FU
OTU_2154,Root,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporales_unidentified,Pleosporales_unidentified_1,Pleosporales_sp|SH197549.06FU
OTU_2155,Root,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Incertae_sedis_3,Stachybotrys,Stachybotrys_sp|SH222253.06FU
OTU_2156,Root,Fungi,Ascomycota,Archaeorhizomycetes,Archaeorhizomycetales,Archaeorhizomycetaceae,Archaeorhizomyces,Archaeorhizomyces_sp|SH197158.06FU
OTU_2157,Root,Fungi,Basidiomycota,Microbotryomycetes,Sporidiobolales,Incertae_sedis_25,Rhodotorula,Rhodotorula_lignophila|SH219418.06FU
OTU_2158,Root,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Marasmiaceae,Gymnopus,Gymnopus_dryophilus|SH238287.06FU
OTU_2159,Root,Fungi,Chytridiomycota,Chytridiomycetes,Olpidiales,Olpidiaceae,Olpidium,Olpidium_bornovanus|SH229162.06FU
OTU_2160,Root,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Meruliaceae,Steccherinum,Steccherinum_sp|SH204026.06FU
OTU_2161,Root,Fungi,Ascomycota,Ascomycota_unidentified,Ascomycota_unidentified_1,Ascomycota_unidentified_1,Ascomycota_unidentified_1_1,Ascomycota_sp|SH208867.06FU
OTU_2162,Root,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Incertae_sedis_11,Candida,Candida_entomophila|SH229293.06FU
OTU_2163,Root,Fungi,Basidiomycota,Microbotryomycetes,Sporidiobolales,Incertae_sedis_25,Sporobolomyces,Sporobolomyces_ruber|SH219452.06FU
OTU_2164,Root,Fungi,Ascomycota,Leotiomycetes,Leotiomycetes_unidentified,Leotiomycetes_unidentified_1,Leotiomycetes_unidentified_1,Leotiomycetes_sp|SH219011.06FU
OTU_2165,Root,Fungi,Chytridiomycota,Chytridiomycota_unidentified,Chytridiomycota_unidentified_1,Chytridiomycota_unidentified_1,Chytridiomycota_unidentified_1_1,Chytridiomycota_sp|SH233268.06FU
OTU_2166,Root,Fungi,Basidiomycota,Agaricomycetes,Russulales,Peniophoraceae,Peniophoraceae_unidentified,Peniophoraceae_sp|SH234613.06FU
OTU_2167,Root,Fungi,Glomeromycota,Glomeromycota_unidentified,Glomeromycota_unidentified_1,Glomeromycota_unidentified_1,Glomeromycota_unidentified_1_1,Glomeromycota_sp|SH238503.06FU
OTU_2168,Root,Fungi,Basidiomycota,Agaricomycetes,Russulales,Hericiaceae,Hericium,Hericium_alpestre|SH217262.06FU
OTU_2169,Root,Fungi,Ascomycota,Orbiliomycetes,Orbiliomycetes_unidentified,Orbiliomycetes_unidentified_1,Orbiliomycetes_unidentified_1,Orbiliomycetes_sp|SH234045.06FU
OTU_2170,Root,Fungi,Basidiomycota,Microbotryomycetes,Sporidiobolales,Incertae_sedis_25,Sporobolomyces,Sporobolomyces_ruber|SH219452.06FU
OTU_2171,Root,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Coprinellus,Coprinellus_pallidus|SH199667.06FU
OTU_2172,Root,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Psathyrella,Psathyrella_obtusata|SH199676.06FU
OTU_2173,Root,Fungi,Basidiomycota,Microbotryomycetes,Sporidiobolales,Incertae_sedis_25,Sporobolomyces,Sporobolomyces_ruber|SH219452.06FU
OTU_2174,Root,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomeraceae_unidentified,Glomeraceae_sp|SH236335.06FU
OTU_2175,Root,Fungi,Basidiomycota,Agaricomycetes,Sebacinales,Sebacinaceae,Sebacina,Sebacina_sp|SH231724.06FU
OTU_2176,Root,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Incertae_sedis_13,Phoma,Phoma_cladoniicola|SH224098.06FU
OTU_2177,Root,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Ophiocordycipitaceae,Elaphocordyceps,Elaphocordyceps_sp_20124794d|SH197962.06FU
OTU_2178,Root,Fungi,Ascomycota,Dothideomycetes,Incertae_sedis_8,Incertae_sedis_19,Phaeosclera,Phaeosclera_sp|SH213886.06FU
OTU_2179,Root,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomeraceae_unidentified,Glomeraceae_sp|SH222498.06FU
OTU_2180,Root,Fungi,Ascomycota,Archaeorhizomycetes,Archaeorhizomycetales,Archaeorhizomycetaceae,Archaeorhizomyces,Archaeorhizomyces_sp|SH240529.06FU
OTU_2181,Root,Fungi,Ascomycota,Orbiliomycetes,Orbiliales,Orbiliaceae,Dactylella,Dactylella_oviparasitica|SH238609.06FU
OTU_2182,Root,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Cordycipitaceae,Beauveria,Beauveria_virella|SH227841.06FU
OTU_2183,Root,Fungi,Fungi_unidentified,Fungi_unidentified_1,Fungi_unidentified_1,Fungi_unidentified_1_1,Fungi_unidentified_1_1,Fungi_sp|SH235191.06FU
OTU_2184,Root,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Incertae_sedis_24,Minimedusa,Minimedusa_sp|SH221764.06FU
OTU_2185,Root,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Tomentellopsis,Tomentellopsis_bresadolana|SH232662.06FU
OTU_2186,Root,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Incertae_sedis_12,Derxomyces,Derxomyces_wuzhishanensis|SH197673.06FU
OTU_2187,Root,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Septoglomus,Septoglomus_africanum|SH228104.06FU
OTU_2188,Root,Fungi,Ascomycota,Sordariomycetes,Incertae_sedis_7,Magnaporthaceae,Magnaporthaceae_unidentified,Magnaporthaceae_sp|SH196925.06FU
OTU_2189,Root,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Mycosphaerellaceae_unidentified,Mycosphaerellaceae_sp|SH216163.06FU
OTU_2190,Root,Fungi,Ascomycota,Ascomycota_unidentified,Ascomycota_unidentified_1,Ascomycota_unidentified_1,Ascomycota_unidentified_1_1,Ascomycota_sp|SH235960.06FU
OTU_2191,Root,Fungi,Ascomycota,Sordariomycetes,Microascales,Halosphaeriaceae,Corollospora,Corollospora_fusca|SH227352.06FU
OTU_2192,Root,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Incertae_sedis_12,Bullera,Bullera_globospora|SH197114.06FU
OTU_2193,Root,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Pichiaceae,Dekkera,Dekkera_bruxellensis|SH240703.06FU
OTU_2194,Root,Fungi,Ascomycota,Dothideomycetes,Microthyriales,Microthyriaceae,Tothia,Tothia_fuscella|SH195931.06FU
OTU_2195,Root,Fungi,Ascomycota,Ascomycota_unidentified,Ascomycota_unidentified_1,Ascomycota_unidentified_1,Ascomycota_unidentified_1_1,Ascomycota_sp|SH212031.06FU
OTU_2196,Root,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Strophariaceae,Alnicola,Alnicola_macrospora|SH190745.06FU
OTU_2197,Root,Fungi,Basidiomycota,Microbotryomycetes,Sporidiobolales,Incertae_sedis_25,Rhodotorula,Rhodotorula_lamellibrachiae|SH227552.06FU
OTU_2198,Root,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Glomus_sp_19_SUN_2011|SH200218.06FU
OTU_2199,Root,Fungi,Basidiomycota,Agaricomycetes,Boletales,Boletales_unidentified,Boletales_unidentified_1,Boletales_sp|SH227102.06FU
